USFS01C BLC Curncy,,1/1/2001,,USFS05C BLC Curncy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,px_mid,6/6/2017,,,px_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2001,4.3795,,,8/10/2001,6.4184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2001,4.3877,,,8/13/2001,6.3903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2001,4.4456,,,8/14/2001,6.3743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2001,4.5461,,,8/15/2001,6.3739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/2001,4.4688,,,8/16/2001,6.2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/2001,4.4096,,,8/17/2001,6.2259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/20/2001,4.4918,,,8/20/2001,6.2455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/2001,4.3575,,,8/21/2001,6.2474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2001,4.4537,,,8/22/2001,6.2944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2001,4.3851,,,8/23/2001,6.2063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/2001,4.4473,,,8/24/2001,6.2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/27/2001,4.4672,,,8/27/2001,6.2576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/2001,4.3091,,,8/28/2001,6.1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2001,4.2701,,,8/29/2001,5.9325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/2001,4.2112,,,8/30/2001,6.0299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/2001,4.2777,,,8/31/2001,6.0881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2001,4.4564,,,9/4/2001,6.2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2001,4.4232,,,9/5/2001,6.2504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2001,4.2303,,,9/6/2001,6.1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/7/2001,4.1121,,,9/7/2001,6.0321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2001,4.1793,,,9/10/2001,6.1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/2001,3.8995,,,9/11/2001,6.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2001,4.0022,,,9/12/2001,6.0891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/2001,3.9976,,,9/13/2001,6.0932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/2001,3.7355,,,9/14/2001,5.8599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/17/2001,3.7433,,,9/17/2001,5.9261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2001,3.7949,,,9/18/2001,6.1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/2001,3.6416,,,9/19/2001,5.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/20/2001,3.6819,,,9/20/2001,5.9985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/2001,3.6267,,,9/21/2001,5.9308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/2001,3.6663,,,9/24/2001,5.9742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2001,3.605,,,9/25/2001,5.9858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2001,3.5256,,,9/26/2001,5.9308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/27/2001,3.5095,,,9/27/2001,5.8788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2001,3.612,,,9/28/2001,5.8684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2001,3.5516,,,10/1/2001,5.8129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2001,3.4592,,,10/2/2001,5.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2001,3.493,,,10/3/2001,5.7425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2001,3.421,,,10/4/2001,5.7844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2001,3.379,,,10/5/2001,5.7958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2001,3.4401,,,10/9/2001,5.9552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2001,3.4675,,,10/10/2001,5.9665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2001,3.592,,,10/11/2001,6.0735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2001,3.5839,,,10/12/2001,6.0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2001,3.4903,,,10/15/2001,5.9743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2001,3.481,,,10/16/2001,5.9295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
